"","mn.WD.2D","mn.WD.3D","sd.WD.2D","sd.WD.3D","pressure","u","v","w","temp","u.u","v.v","w.w","temp.temp","u.v","u.w","u.t","v.w","v.t","w.t","gps.lat.mn","gps.lat.sd","gps.lon.mn","gps.lon.sd","CO2.mn","CO2.sd","N.5.percent","CH4.max","CH4.mn.95","CH4.sd.95","CH4.min","CH4.mn.5","CH4.sd.5","CH4.mn.raw","CH4.mn","ws3.mn","temp.K","ws2.mn","wd3.mn","ws2.sd","wd3.sd","wd2.sd","turbint","PG.sd.2","PG.sd.3","PG.ti","pgsigmay","pgsigmaz","centroid.dir","binwidth","cut.wind.speed","cut.bin.density","a1","sigma","CH4.a1","QA.count","temp.ratio","temp.sd","temp.min","temp.max","PSG"
"1",235.028853454822,214.210744115414,22.4947840152401,22.2412502742603,995.677429764617,-1.71946659073652,-2.64506264236902,-0.0978274487471526,24.0404963933181,4.80394282460137,9.23776268033409,0.283585544798785,578.092563866743,4.5444435269552,0.377915081624905,-41.3081401100987,0.36964275816249,-63.3191526765376,-2.28512629081245,35.969951606916,5.62159823989188e-07,-79.0934301915529,8.20681144364002e-07,384.105388382688,1.36101044803205,527,35.419,8.7085275142315,5.22705003561396,1.732,1.73636910994764,0.000882842428910184,2.23431700835232,0.48579393003891,3.40865991096047,297.190496393318,3.21900151860289,-5.85862862668045,1.46137733681217,22.2832176224937,22.4947840152401,0.150242381678734,NULL,3,4,6.85,3.87,NA,10,NA,0,c(a = 1.18127798326344),c(sigma = 9.93970044510726),0.000763490361503591,1599,1.0506573337265,0.38355050814506,23.15,25.45,0.433479572692826
"2",216.288793826539,182.999060560309,23.340186324389,25.1994370203406,995.856693507801,-0.120113236034222,-2.41396409998322,-0.113620197953364,24.2312003019628,1.21238927193424,6.85716242241235,0.187734289548733,587.277558438181,0.303317404797853,-0.0105449588995135,-2.96981574400268,0.403556861264888,-58.3539311273276,-2.70794631773192,35.9700254106758,1.26355465548778e-06,-79.0933540120656,1.3393369468649e-06,385.766378208354,2.0094155616896,596,21.28,5.75064991624791,2.30621639199335,1.758,1.76228901734104,0.000979172488505946,2.15070608958228,0.386756945170231,2.64630638839615,297.381200301963,2.59186378124476,0.401840567070733,0.960102980924668,25.1716808047968,23.340186324389,0.153583235319909,NULL,2,4,11.89,6.51,NA,10,NA,0,c(a = 0.945865250537289),c(sigma = 12.6821000873121),0.000611055012833744,1684,1.05672937583989,0.355669755614739,23.51,26.54,0.786435569708581
"3",220.783221974759,185.112724573125,19.3520254316545,17.4600353061587,994.260504825538,-0.198936896807721,-2.54849146250928,-0.17754862657758,25.1399420935412,0.627586815144766,7.72916476614699,0.287344691907944,632.062747750557,0.453652531551596,0.0168289235337788,-5.01073658500371,0.608747394209354,-63.9440280326652,-4.42447599109131,35.9698154134354,7.52662908414314e-07,-79.0934772757277,1.14727852195995e-06,383.47566636971,1.43533788743409,337,25.373,11.0365192878338,3.48087955245571,1.749,1.75433168316832,0.000984398767748158,2.69518678544915,0.903459151326027,2.67104720485773,298.289942093541,2.54622123236823,17.9913979029927,1.03073076017208,17.4769296585979,19.3520254316545,0.184850272190632,NULL,4,2,7.47,4.02,NA,10,NA,0,c(a = 2.11559894993468),c(sigma = 11.8399356283683),0.00136038747617897,1615,1.05576971926885,0.214630202353889,24.66,25.9,0.685599846494301
"4",217.155069422021,199.462891507911,17.5565645027746,20.7485302621554,994.088609945108,-1.11692767194059,-3.13048191798515,-0.106658863416209,25.4423805295447,2.8400118824669,11.3487167500807,0.242842371649984,647.407083927995,3.39655346302874,0.230371520826606,-28.3675963674524,0.451787665482725,-79.5079914514046,-2.66384239586697,35.9704173133524,6.17958399170976e-07,-79.0933809210072,7.97667503611209e-07,382.912257022925,1.42643249275416,619,5.739,2.78256612903226,0.46772840573633,1.748,1.75424190800681,0.0010689929098699,1.87690539231514,0.123854996526453,3.55040615111825,298.592380529545,3.33439618986116,-0.56561422396987,1.14522161916166,20.7748182955828,17.5565645027746,0.133082111772265,NULL,3,4,15.18,8.65,NA,10,NA,0,c(a = 0.197950989826558),c(sigma = 30.2357199757458),0.000127136941128845,2312,1.05668785486246,0.303915076614823,24.69,26.64,0.372406748986446
"5",226.679756978075,199.31906313287,22.8589636691926,23.1554023433213,994.142872237387,-1.07408734701065,-2.91103724575152,-0.174975785858942,25.4923615391389,2.92431695870388,9.77405158932817,0.294774042440785,649.898261979396,3.2073180681518,0.267697525755041,-27.3723168882627,0.659464893898036,-74.1656335123712,-4.43726632033107,35.9700369502157,1.17885829067373e-06,-79.0934447624903,7.91232565454682e-07,381.85532631857,1.31291488293931,568,16.358,4.97327288732394,1.88306802677938,1.744,1.75026017699115,0.00105416598601229,2.05493730738751,0.306322253294966,3.36342634995004,298.642361539139,3.07487892929471,-5.48469939008658,1.027962473708,23.2412853558001,22.8589636691926,0.148046268830949,NULL,3,4,9.33,5.3,NA,10,NA,0,c(a = 0.563285596701927),c(sigma = 17.390031068703),0.0003617376744825,2096,1.05673195074206,0.194341099093284,25.04,26.31,0.378018492828539
"6",220.883621326244,175.580416482056,23.888679549923,23.7709629048157,997.093531236154,0.18459754836804,-3.06372618520159,-0.156453994978585,15.4564215034707,1.89133934426229,10.401101890415,0.311076428887904,239.124452591936,-0.294289898094816,0.0756207502584552,2.8530394771821,0.641126007975188,-47.2239688819968,-2.30086244277064,35.9702352448179,5.06163297758513e-07,-79.0929079589026,8.68326536911211e-07,388.353783783784,1.5695021253054,339,11.854,3.4611209439528,1.34407226537863,1.834,1.838268,0.000992024419961097,2.00172677595628,0.157971471826151,3.3565619574581,288.606421503471,3.24723083739477,0.0867887239994997,0.904211023117993,23.7979196339196,23.888679549923,0.155897734267424,NULL,2,3,16.84,9.29,NA,10,NA,0,c(a = 0.316941073661133),c(sigma = 18.1856562087865),0.000211239989659371,1373,1.09513667852686,0.472778923328898,14.36,17.72,0.696960997227344
"7",225.525859535704,182.66265060241,19.7671955498995,19.0425657095821,996.955847781369,-0.24481486923303,-3.1388025271819,-0.181190126359095,15.8233000293858,1.31970618571848,11.4613660152806,0.264845900675874,250.722093711431,1.17948573317661,0.120946987951807,-3.71981243020864,0.795529077284749,-49.2775475168969,-2.72273279459301,35.9702377171275,3.68496787791596e-07,-79.092907997316,2.10416019285385e-07,387.099428004702,2.08167774265844,340,7.294,4.1454780058651,0.743237597757754,1.833,1.83804109589041,0.00111149391638847,2.15292653540993,0.299891789852943,3.32525895583225,288.973300029386,3.05060240963855,-1.78269553700746,1.22770566888915,19.1607732202838,19.7671955498995,0.137994177533066,NULL,4,4,13.87,7.89,NA,10,NA,0,c(a = 0.420697571524842),c(sigma = 26.8988127155146),0.000279998636580614,1791,1.09653536735498,0.58763988049333,14.61,18.29,0.640198601425047
"8",210.448840165237,175.230155703845,22.0562241079462,21.7367900651439,996.650444868128,0.226545916746107,-3.00381792183031,-0.0365872259294566,16.1955926278996,1.25157235462345,11.0726596599936,0.165410517953607,262.626179885605,-0.692343581188433,0.0325153002859867,3.69076228153797,0.227762519860184,-48.2821728948205,-0.493125579917382,35.9702984838535,1.04485349126163e-06,-79.0928253450061,9.59008047540696e-07,385.257810772164,1.66099385278731,315,4.423,2.93921904761905,0.451364547843587,1.828,1.83335888501742,0.000946164216452438,1.96967715284398,0.13629548500297,3.20462873641457,289.3455926279,3.08582777248173,3.01358889921276,1.33306278398017,21.7376326242743,22.0562241079462,0.126341828289057,NULL,3,5,15.33,8.73,NA,10,NA,0,c(a = 0.204257887336789),c(sigma = 35.7073998824993),0.000135728963645884,1233,1.09553965044019,0.573595319521092,14.96,18.28,0.365751842625391
"9",210.988573102842,172.591239378846,20.5020178996079,21.6464683819436,996.590785232933,0.457314679167887,-3.7684397890419,0.0367711690594785,16.0562012891884,2.19160698798711,16.4369253882215,0.302681394667448,258.160568253736,-1.54412771755054,0.0897056694989745,7.24098474948725,0.163610474655728,-60.0349036038676,0.718726516261354,35.9702964106345,4.57494164736e-07,-79.0928231395803,4.83519996531593e-07,385.274466158805,1.70703502111804,341,8.388,3.25363157894737,0.728104943088155,1.825,1.8284652173913,0.000823300788498637,2.00236185174333,0.168674639021372,4.05119190201743,289.206201289188,3.90865807207735,0.0408907010994358,1.35168858215989,21.6481972606749,20.5020178996079,0.137177631944982,NULL,3,4,15.33,8.73,NA,10,NA,0,c(a = 0.346616304035448),c(sigma = 21.1891569459628),0.000230423069284189,1181,1.09295898170459,0.599183620357981,15.32,18.97,0.784955505817994
"10",239.178126374432,194.863744319015,25.0864222992479,23.7710370037399,996.399882715144,-1.05401554024337,-3.36258466500513,-0.069209793285442,16.5526887553145,3.99647840492596,13.3923811317989,0.251345990323999,274.385509148219,4.33620586424278,0.2575421932268,-17.3250630992523,0.415076850901627,-55.2396454332209,-1.04257139715584,35.9703574151143,2.80745272324162e-07,-79.0927567430073,3.1777912439997e-07,383.700253188682,2.11121139072476,341,5.352,3.03421994134897,0.536220110930091,1.819,1.82244748858447,0.000851728191130421,1.94770282949714,0.120315862983206,3.8410028115575,289.702688755314,3.49841665444949,-3.14895735408689,1.5231162539832,23.9315675641349,25.0864222992479,0.127428092364788,NULL,2,5,16.06,9.15,NA,10,NA,0,c(a = 0.258751183425641),c(sigma = 29.2410635628117),0.00017168454052725,1091,1.09672046338769,0.627743490423782,15.58,19.36,0.608866835410961
