Description	
Elapsed Time	0:11:47
SUMMA Canister 1 ID	
SUMMA Canister 2 ID	
SUMMA Start	
SUMMA Stop	
Mast Heading	0.000000E+0
Distance to Source	32.300000E+0
Elevation Angle	0.000000E+0
Height at Elevation	0.000000E+0
Mast Height	0.000000E+0
FLIR File	
Photo File	
Delay Time	0.000
Source Height	0.000
Background CO2	0.000
Background H2S	0.000
Background C2H2	0.000
Background BEN	0.000
Background TOL	0.000
Background ETB	0.000
Background XYO	0.000
Background XYM	0.000
Background XYP	0.000
Background SO2	0.000
Background STY	0.000
Background FOR	0.000
Background NH3	0.000
Background NO	0.000
Background NO2	0.000
Background O3	0.000
Background VOC	0.000
<<<DATA>>>
Time	CO2	CH4	3DS U	3DS V	3DS W	3DS 2D Speed	3DS 3D Speed	3DS Azimuth	3DS Elevation	3DS SoS	3DS Sonic Temp	3DS Error Code	GPS Track	GPS Ground Speed	GPS Time	GPS Latitude	GPS Longitude	GPS DoP	WS Wind Speed 	WS Wind Direction	WS Temperature	WS Rel Humidity	WS Bar. Pressure	WS Compass Heading	BEN	TOL	ETB	XYO	XYM	XYP	SO2	STY	FOR	NH3	NO	NO2	O3	Cell Pressure	Cell Temperature	SUMMA Pressure	VOC	AirMar Wind Speed [m/s] 	AirMar Wind Direction [TRUE]	AirMar Air Temp [oC]	AirMar Rel Humidity [%]	AirMar Barometer [mBar]	AirMar Heading	AirMar Ground Speed [MPH]	AirMar Latitude	AirMar Longitude	Cerex-1-3 Butadiene	Cerex-Acetaldehyde	Cerex-Ammonia	Cerex-Benzene	Cerex-Carbon Disulfide	Cerex-Chlorine	Cerex-Chlorine Dioxide	Cerex-Ethylamine	Cerex-Ethylbenzene	Cerex-Formaldehyde	Cerex-Hydrogen Sulfide	Cerex-Isoprene	Cerex-Mercury	Cerex-Naphthalene	Cerex-Nitric Oxide	Cerex-Nitrogen Dioxide	Cerex-Oxygen	Cerex-Ozone	Cerex-Phenol	Cerex-Pyridine	Cerex-Styrene	Cerex-Sulfur Dioxide	Cerex-Toluene	Cerex-o-Xylene	Cerex-m-Xylene	Cerex-p-Xylene	Tiger-VOC	Cerex_MaxSigStrength	Cerex_FileNumber	Cerex-1-3 Butadiene_MDL(ppb)	Cerex-1-3 Butadiene_R2	Cerex-Acetaldehyde_MDL(ppb)	Cerex-Acetaldehyde_R2	Cerex-Ammonia_MDL(ppb)	Cerex-Ammonia_R2	Cerex-Benzene_MDL(ppb)	Cerex-Benzene_R2	Cerex-Carbon Disulfide_MDL(ppb)	Cerex-Carbon Disulfide_R2	Cerex-Chlorine_MDL(ppb)	Cerex-Chlorine_R2	Cerex-Chlorine Dioxide_MDL(ppb)	Cerex-Chlorine Dioxide_R2	Cerex-Ethylamine_MDL(ppb)	Cerex-Ethylamine_R2	Cerex-Ethylbenzene_MDL(ppb)	Cerex-Ethylbenzene_R2	Cerex-Formaldehyde_MDL(ppb)	Cerex-Formaldehyde_R2	Cerex-Hydrogen Sulfide_MDL(ppb)	Cerex-Hydrogen Sulfide_R2	Cerex-Isoprene_MDL(ppb)	Cerex-Isoprene_R2	Cerex-Mercury_MDL(ppb)	Cerex-Mercury_R2	Cerex-Naphthalene_MDL(ppb)	Cerex-Naphthalene_R2	Cerex-Nitric Oxide_MDL(ppb)	Cerex-Nitric Oxide_R2	Cerex-Nitrogen Dioxide_MDL(ppb)	Cerex-Nitrogen Dioxide_R2	Cerex-Oxygen_MDL(ppb)	Cerex-Oxygen_R2	Cerex-Ozone_MDL(ppb)	Cerex-Ozone_R2	Cerex-Phenol_MDL(ppb)	Cerex-Phenol_R2	Cerex-Pyridine_MDL(ppb)	Cerex-Pyridine_R2	Cerex-Styrene_MDL(ppb)	Cerex-Styrene_R2	Cerex-Sulfur Dioxide_MDL(ppb)	Cerex-Sulfur Dioxide_R2	Cerex-Toluene_MDL(ppb)	Cerex-Toluene_R2	Cerex-o-Xylene_MDL(ppb)	Cerex-o-Xylene_R2	Cerex-m-Xylene_MDL(ppb)	Cerex-m-Xylene_R2	Cerex-p-Xylene_MDL(ppb)	Cerex-p-Xylene_R2	MPOD-PID
06/14/18 15:12:02	3.866270E+2	3.227090E+0	1.700000E+0	-1.040000E+0	-7.000000E-2	2.000000E+0	2.010000E+0	1.215000E+2	-2.200000E+0	3.467800E+2	2.528000E+1	0.000000E+0	1.723000E+2	1.988388E-1	7.272050E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	2.053200E+0	1.142950E+1	-2.359470E+1	9.373930E+1	-2.166650E+1	7.693360E+0	2.406690E+1	NaN	2.275260E+2	2.816620E+2	-2.336530E+2	2.659020E+1	1.897200E+1	-3.439738E+1	2.551608E+1	-1.655523E+0	2.487356E+3	6.000000E-1	3.278000E+2	2.370000E+1	NaN	1.002500E+3	1.820000E+1	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:03	3.866010E+2	3.313800E+0	1.300000E+0	-9.100000E-1	-4.400000E-1	1.590000E+0	1.660000E+0	1.251000E+2	-1.550000E+1	3.468600E+2	2.542000E+1	0.000000E+0	1.691200E+2	8.077825E-2	7.272150E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	1.113910E+0	1.374810E+1	-2.185610E+1	8.163320E+1	-2.721020E+1	6.797940E+0	1.235820E+1	NaN	2.868110E+2	2.874550E+2	-2.374420E+2	4.303490E+0	2.418640E+1	-3.464793E+1	2.550512E+1	-1.847025E+0	2.480460E+3	1.300000E+0	3.554000E+2	2.370000E+1	NaN	1.002500E+3	3.120000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:04	3.873030E+2	2.786690E+0	6.500000E-1	-6.500000E-1	4.100000E-1	9.300000E-1	1.010000E+0	1.349000E+2	2.510000E+1	3.468200E+2	2.535000E+1	0.000000E+0	2.984600E+2	9.320568E-2	7.272250E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	2.454850E+0	1.349980E+1	-2.492520E+1	9.225860E+1	-2.377030E+1	7.846010E+0	1.438170E+1	NaN	3.894220E+2	2.797200E+2	-2.560510E+2	2.694830E+0	2.450870E+1	-3.437578E+1	2.551334E+1	-1.686999E+0	2.478161E+3	1.200000E+0	3.340000E+2	2.370000E+1	NaN	1.002500E+3	5.040000E+1	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:05	3.865160E+2	2.629060E+0	-1.240000E+0	5.700000E-1	2.020000E+0	1.370000E+0	2.440000E+0	2.948000E+2	6.270000E+1	3.470400E+2	2.573000E+1	0.000000E+0	2.608400E+2	1.242742E-1	7.272350E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	3.142900E+0	1.721160E+1	-2.485640E+1	8.750640E+1	-2.507630E+1	6.940870E+0	1.301640E+1	NaN	3.929280E+2	3.111580E+2	-2.589500E+2	4.648810E+0	2.172850E+1	-3.459609E+1	2.548868E+1	-1.708624E+0	2.473563E+3	3.000000E-1	2.271000E+2	2.370000E+1	NaN	1.002500E+3	3.522000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:06	3.867630E+2	2.594540E+0	1.730000E+0	-6.000000E-2	8.000000E-2	1.740000E+0	1.750000E+0	9.210000E+1	2.900000E+0	3.468600E+2	2.540000E+1	0.000000E+0	1.540200E+2	1.180605E-1	7.272450E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-2.919120E-1	2.175810E+1	-2.494120E+1	8.821520E+1	-2.462860E+1	7.264770E+0	1.438780E+1	NaN	4.354080E+2	2.888340E+2	-2.466530E+2	6.978940E-1	1.705070E+1	-3.435418E+1	2.550786E+1	-1.784552E+0	2.471264E+3	7.000000E-1	1.854000E+2	2.370000E+1	NaN	1.002500E+3	3.790000E+1	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:07	3.859790E+2	2.576430E+0	4.900000E-1	0.000000E+0	-5.400000E-1	5.000000E-1	7.300000E-1	9.080000E+1	-5.650000E+1	3.469600E+2	2.559000E+1	0.000000E+0	2.973800E+2	5.592341E-2	7.272550E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-1.443490E+0	2.155920E+1	-1.888820E+1	9.397670E+1	-2.315520E+1	5.472090E+0	2.221070E+1	NaN	5.232490E+2	2.392910E+2	-2.192580E+2	2.582460E+1	2.307670E+1	-3.480344E+1	2.549964E+1	-1.618280E+0	2.464368E+3	1.000000E+0	4.490000E+1	2.370000E+1	NaN	1.002500E+3	3.453000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:08	3.863270E+2	2.625060E+0	1.210000E+0	-3.900000E-1	5.900000E-1	1.280000E+0	1.400000E+0	1.082000E+2	2.660000E+1	3.468800E+2	2.545000E+1	0.000000E+0	3.583800E+2	1.367017E-1	7.272650E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-3.387460E+0	1.976200E+1	-1.717560E+1	7.432030E+1	-3.083830E+1	5.033990E+0	2.021640E+1	NaN	3.955670E+2	2.218880E+2	-1.652340E+2	2.011330E+1	2.427960E+1	-3.446649E+1	2.542292E+1	-1.626689E+0	2.478161E+3	6.000000E-1	2.944000E+2	2.370000E+1	NaN	1.002500E+3	1.615000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:09	3.873930E+2	2.734240E+0	2.730000E+0	-3.000000E-2	-1.200000E-1	2.740000E+0	2.750000E+0	9.080000E+1	-2.600000E+0	3.471000E+2	2.583000E+1	0.000000E+0	3.314100E+2	6.213712E-2	7.272750E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-3.876440E+0	1.727170E+1	-1.591360E+1	7.303670E+1	-3.023500E+1	5.615720E+0	2.476530E+1	NaN	3.468480E+2	2.295890E+2	-1.529140E+2	2.084170E+1	2.409350E+1	-3.458313E+1	2.542840E+1	-1.791040E+0	2.482759E+3	6.000000E-1	3.473000E+2	2.380000E+1	NaN	1.002500E+3	3.240000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:10	3.872440E+2	2.963140E+0	9.400000E-1	-2.700000E-1	-3.400000E-1	9.800000E-1	1.030000E+0	1.064000E+2	-2.330000E+1	3.467400E+2	2.521000E+1	0.000000E+0	1.489800E+2	7.456454E-2	7.272850E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-4.085900E+0	1.867060E+1	-1.693790E+1	6.609400E+1	-3.200130E+1	4.718510E+0	3.324000E+1	NaN	2.807410E+2	2.123440E+2	-1.345610E+2	1.804730E+1	2.322910E+1	-3.463065E+1	2.541196E+1	-1.716313E+0	2.472414E+3	1.400000E+0	3.232000E+2	2.380000E+1	NaN	1.002500E+3	1.793000E+2	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/14/18 15:12:11	3.884830E+2	3.300230E+0	6.500000E-1	6.700000E-1	-3.200000E-1	9.400000E-1	1.000000E+0	4.410000E+1	-1.870000E+1	3.470200E+2	2.568000E+1	0.000000E+0	1.483200E+2	8.699197E-2	7.272950E+4	4.825535E+1	-1.023591E+2	9.000000E-1	NaN	NaN	NaN	NaN	NaN	NaN	-3.396460E+0	1.833590E+1	-1.765070E+1	5.425420E+1	-3.947970E+1	5.994120E+0	3.302070E+1	NaN	2.476380E+2	2.300790E+2	-1.377720E+2	1.788200E+1	2.657290E+1	-3.431962E+1	2.547498E+1	-1.770857E+0	2.474713E+3	1.500000E+0	2.875000E+2	2.380000E+1	NaN	1.002500E+3	3.520000E+1	0.000000E+0	4.825537E+1	-1.023591E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
